Year,Total_Water_Availability_Litre,Water_Demand_Agriculture,Water_Demand_Industry,Water_Demand_Energy,Water_Demand_Domestic,Water_Demand_Other,PerCapita_Availability,PerCapita_Demand,Crisis_Status,Rainfall,FiveYear_MA,Population
1925,1095942780472.68,174000000000,14500000000,5800000000,6351000000000.0,8700000000,3779.11,61.92,Normal,1122.31,1122.31,290000000
1926,1114699041651.13,176557834800,14713152900,5885261160,6484638226263.75,8827891740,3788.1,62.29,Normal,1261.76,1192.04,294263058
1927,1132607697272.04,179153270400,14929439200,5971775680,6620833049220.0,8957663520,3793.2,62.67,Normal,1117.1,1167.06,298588784
1928,1144456124129.36,181786859400,15148904950,6059561980,6759630750001.88,9089342970,3777.36,63.04,Normal,1251.2,1188.09,302978099
1929,1167122589854.59,184459162200,15371596850,6148638740,6901078405807.5,9222958110,3796.36,63.42,Normal,1191.99,1188.87,307431937
1930,1180233983908.95,187170748800,15597562400,6239024960,7045223966550.0,9358537440,3783.39,63.79,Normal,1282.5,1220.91,311951248
1931,1199923124078.3,189922196400,15826849700,6330739880,7192116174922.5,9496109820,3790.78,64.17,Normal,1219.93,1212.54,316536994
1932,1220424378117.77,192714091200,16059507600,6423803040,7341804643185.0,9635704560,3799.69,64.54,Normal,1211.54,1231.43,321190152
1933,1235888608298.24,195547027200,16295585600,6518234240,7494339817440.0,9777351360,3792.1,64.92,Normal,1374.15,1256.02,325911712
1934,1252025200361.38,198421607400,16535133950,6614053580,7649773032793.12,9921080370,3785.95,65.29,Normal,1203.95,1258.41,330702679
1935,1272242819788.02,201338445000,16778203750,6711281500,7808156570156.25,10066922250,3791.36,65.67,Normal,1355.2,1272.95,335564075
1936,1291223809378.67,204298160400,17024846700,6809938680,7969543550853.75,10214908020,3792.17,66.04,Normal,1173.08,1263.58,340496934
1937,1308918157791.4,207301384200,17275115350,6910046140,8133988062547.5,10365069210,3788.45,66.42,Normal,1255.35,1272.34,345502307
1938,1328919651533.39,210348755400,17529062950,7011625180,8301545099833.12,10517437770,3790.62,66.79,Normal,1454.62,1288.44,350581259
1939,1358544265076.55,213440924400,17786743700,7114697480,8472270692902.5,10672046220,3818.98,67.17,Normal,1224.05,1292.46,355734874
1940,1373076885088.63,216578549400,18048212450,7219284980,8646221776828.12,10828927470,3803.91,67.54,Normal,1173.16,1256.05,360964249
1941,1388739416976.36,219762297600,18313524800,7325409920,8823456248640.0,10988114880,3791.57,67.92,Normal,1290.15,1279.47,366270496
1942,1414872639371.73,222992847600,18582737300,7433094920,9004033074498.75,11149642380,3806.95,68.29,Normal,1198.94,1268.18,371654746
1943,1430029255763.88,226270887000,18855907250,7542362900,9188012205243.75,11313544350,3791.99,68.67,Normal,1251.46,1227.55,377118145
1944,1459892052742.17,229597114200,19133092850,7653237140,9375454660160.62,11479855710,3815.1,69.04,Normal,1312.55,1245.25,382661857
1945,1476867174491.54,232972237800,19414353150,7765741260,9566422514662.5,11648611890,3803.54,69.42,Normal,1146.7,1239.96,388287063
1946,1495955711797.87,236396976600,19699748050,7879899220,9760978911924.38,11819848830,3796.89,69.79,Normal,1272.44,1236.42,393994961
1947,1521474793561.8,239872059600,19989338300,7995735320,9959188074517.5,11993602980,3805.72,70.17,Normal,1165.85,1229.8,399786766
1948,1531760561979.89,243398227200,20283185600,8113274240,10161115366140.0,12169911360,3775.94,70.54,Normal,1187.27,1216.96,405663712
1949,1557225670461.05,246976230000,20581352500,8232541000,10366827254250.0,12348811500,3783.1,70.92,Normal,1247.25,1203.9,411627050
1950,1579905284997.22,250606830000,20883902500,8353561000,10576391372343.75,12530341500,3782.59,71.29,Normal,1301.5,1234.86,417678050
1951,1619781055118.34,255543465000,21295288750,8518115500,10843028649281.25,12777173250,3803.14,71.67,Normal,1165.74,1213.52,425905775
1952,1662260982330.96,260577345000,21714778750,8685911500,11116066676859.38,13028867250,3827.49,72.04,Normal,1053.92,1191.13,434295575
1953,1698540139088.48,265710386400,22142532200,8857012880,11395654196730.0,13285519320,3835.47,72.42,Normal,1273.27,1208.33,442850644
1954,1721432943969.93,270944541600,22578711800,9031484720,11681943251422.5,13547227080,3812.07,72.79,Normal,1147.93,1188.47,451574236
1955,1754625521793.02,276281803800,23023483650,9209393460,11975089433456.25,13814090190,3810.51,73.17,Normal,1012.97,1130.76,460469673
1956,1773211632947.74,281724202200,23477016850,9390806740,12275251722733.12,14086210110,3776.48,73.54,Normal,1169.98,1131.61,469540337
1957,1817418554883.79,287273809800,23939484150,9575793660,12582592869240.0,14363690490,3795.86,73.92,Normal,1120.02,1144.83,478789683
1958,1851668470664.67,292932736800,24411061400,9764424560,12897279152422.5,14646636840,3792.68,74.29,Normal,1248.16,1139.81,488221228
1959,1889639507868.36,298703138400,24891928200,9956771280,13219480768815.0,14935156920,3795.69,74.67,Normal,1194.14,1149.05,497838564
1960,1930564010404.51,304587208800,25382267400,10152906960,13549371616462.5,15229360440,3802.98,75.04,Normal,1228.58,1192.18,507645348
1961,1966492432954.07,310587188400,25882265700,10352906280,13887129661335.0,15529359420,3798.92,75.42,Normal,1262.46,1210.67,517645314
1962,1993560210297.16,316705359000,26392113250,10556845300,14232936774309.38,15835267950,3776.81,75.79,Normal,1240.07,1234.68,527842265
1963,2055118328974.16,322944050400,26912004200,10764801680,14586979076505.0,16147202520,3818.22,76.17,Normal,1326.16,1250.28,538240084
1964,2080887174938.24,329305636200,27442136350,10976854540,14949446803366.88,16465281810,3791.41,76.54,Normal,1189.67,1249.39,548842727
1965,2133171736821.12,335792537400,27982711450,11193084580,15320534518875.0,16789626870,3811.59,76.92,Normal,1270.17,1257.7,559654229
1966,2191184362493.82,342407221800,28533935150,11413574060,15700441142098.12,17120361090,3839.61,77.29,Normal,1292.05,1263.62,570678703
1967,2208509465124.14,349152207000,29096017250,11638406900,16089370138818.75,17457610350,3795.21,77.67,Normal,1188.25,1253.26,581920345
1968,2237972731334.18,356030060400,29669171700,11867668680,16487529578336.25,17801503020,3771.55,78.04,Normal,1323.64,1252.76,593383434
1969,2302729778686.16,363043398000,30253616500,12101446600,16895132134425.0,18152169900,3805.71,78.42,Normal,1254.05,1265.63,605072330
1970,2361235290567.33,370194890400,30849574200,12339829680,17312395421362.5,18509744520,3827.01,78.79,Normal,1330.51,1277.7,616991484
1971,2416154510157.25,377487257400,31457271450,12582908580,17739541802441.25,18874362870,3840.38,79.17,Normal,1278.61,1275.01,629145429
1972,2433393045492.01,384923274600,32076939550,12830775820,18176798757751.88,19246163730,3793.06,79.54,Normal,1373.82,1312.12,641538791
1973,2498593938848.19,392505772200,32708814350,13083525740,18624398890890.0,19625288610,3819.45,79.92,Normal,1208.85,1289.17,654176287
1974,2538520770143.44,400237635000,33353136250,13341254500,19082579991234.38,20011881750,3805.52,80.29,Normal,1238.11,1285.98,667062725
1975,2592533081287.47,408121806000,34010150500,13604060200,19551585268687.5,20406090300,3811.41,80.67,Normal,1217.71,1263.42,680203010
1976,2672563601662.12,416161285200,34680107100,13872042840,20031663362298.75,20808064260,3853.17,81.04,Normal,1229.44,1253.59,693602142
1977,2681564565689.06,424359131400,35363260950,14145304380,20523068492332.5,21217956570,3791.46,81.42,Normal,1307.67,1240.36,707265219
1978,2753752588431.06,432718465200,36059872100,14423948840,21026060673108.75,21635923260,3818.31,81.79,Normal,1014.26,1201.44,721197442
1979,2810725835683.04,441242466600,36770205550,14708082220,21540905666328.75,22062123330,3822.02,82.17,Normal,1055.11,1164.84,735404111
1980,2873421028960.96,449934380400,37494531700,14997812680,22067875313681.25,22496719020,3831.79,82.54,Normal,1072.6,1135.82,749890634
1981,2913352370992.19,457897911000,38158159250,15263263700,22562919564525.0,22894895550,3817.47,82.92,Normal,1260.51,1142.03,763163185
1982,2967752346737.36,466002390600,38833532550,15533413020,23068574592170.62,23300119530,3821.12,83.29,Normal,1319.9,1144.48,776670651
1983,3012378927828.06,474250314000,39520859500,15808343800,23585060928112.5,23712515700,3811.13,83.67,Normal,1142.26,1170.08,790417190
1984,3074071158720.57,482644219200,40220351600,16088140640,24112603538595.0,24132210960,3821.54,84.04,Normal,1079.93,1175.04,804407032
1985,3121370356775.54,491186691000,40932224250,16372889700,24651432054562.5,24559334550,3812.85,84.42,Normal,1170.23,1194.56,818644485
1986,3189089708831.25,499880359200,41656696600,16662678640,25201780734292.5,24994017960,3827.82,84.79,Normal,1194.41,1181.34,833133932
1987,3233352297350.09,508727898600,42393991550,16957596620,25763888514723.75,25436394930,3813.46,85.17,Normal,1092.87,1135.94,847879831
1988,3300676762345.54,517732033800,43144336150,17257734460,26337999306969.38,25886601690,3825.16,85.54,Normal,1204.14,1148.31,862886723
1989,3354182785992.32,526895536200,43907961350,17563184540,26924361899820.0,26344776810,3819.56,85.92,Normal,1173.49,1167.03,878159227
1990,3429483960263.43,536221226400,44685102200,17874040880,27523230136312.5,26811061320,3837.39,86.29,Normal,1171.39,1167.26,893702044
1991,3474574605258.2,545711974800,45475997900,18190399160,28134863000782.5,27285598740,3820.23,86.67,Normal,1153.72,1159.12,909519958
1992,3512631310718.12,555370702800,46280891900,18512356760,28759524737808.75,27768535140,3794.9,87.04,Normal,1204.3,1181.41,925617838
1993,3618157408999.54,565200384000,47100032000,18840012800,29397484972800.0,28260019200,3840.93,87.42,Normal,956.38,1131.86,942000640
1994,3651504576197.03,575204044200,47933670350,19173468140,30049018771535.62,28760202210,3808.91,87.79,Normal,1287.41,1154.64,958673407
1995,3720308950082.97,585384761400,48782063450,19512825380,30714406699706.25,29269238070,3813.19,88.17,Normal,1105.32,1141.43,975641269
1996,3787517723786.3,595745671200,49645472600,19858189040,31393935167017.5,29787283560,3814.57,88.54,Normal,1015.9,1113.86,992909452
1997,3884920721117.38,606289961400,50524163450,20209665380,32087896207095.0,30314498070,3844.62,88.92,Normal,1255.59,1124.12,1010483269
1998,3900050027511.69,617020878600,51418406550,20567362620,32796587887835.62,30851043930,3792.46,89.29,Normal,1257.33,1184.31,1028368131
1999,4052386582708.82,627941725800,52328477150,20931390860,33520314250361.25,31397086290,3872.07,89.67,Normal,1312.13,1189.25,1046569543
2000,4091385663247.55,639055864200,53254655350,21301862140,34259385469846.88,31952793210,3841.34,90.04,Normal,1275.17,1223.22,1065093107
2001,4150801435460.41,650366715600,54197226300,21678890520,35014118051115.0,32518335780,3829.35,90.42,Normal,1342.01,1288.45,1083944526
2002,4220217094097.22,661877761200,55156480100,22062592040,35784834832878.75,33093888060,3825.68,90.79,Normal,1356.0,1308.53,1103129602
2003,4301206457704.61,673592544600,56132712050,22453084820,36571865218376.25,33679627230,3831.28,91.17,Normal,1366.41,1330.34,1122654241
2004,4381943266783.64,685514671200,57126222600,22850489040,37375545213832.5,34275733560,3835.32,91.54,Normal,1371.78,1342.28,1142524452
2005,4462246370325.93,697647811800,58137317650,23254927060,38196217696050.0,34882390590,3837.68,91.92,Normal,1261.41,1339.52,1162746353
2006,4513466469163.36,705811050000,58817587500,23527035000,38804168133281.25,35290552500,3836.83,92.29,Normal,1118.55,1294.83,1176351750
2007,4558554656499.37,714069807000,59505817250,23802326900,39421116282693.75,35703490350,3830.34,92.67,Normal,1136.33,1250.9,1190116345
2008,4607314782806.04,722425200000,60202100000,24080840000,40047189446250.0,36121260000,3826.54,93.04,Normal,1213.35,1220.29,1204042000
2009,4662676142591.02,730878360600,60906530050,24362612020,40682516746897.5,36543918030,3827.73,93.42,Normal,1390.27,1223.98,1218130601
2010,4717044087168.94,739430431800,61619202650,24647681060,41327228977321.88,36971521590,3827.58,93.79,Normal,1208.62,1213.43,1232384053
2011,4797711064755.69,748082572200,62340214350,24936085740,41981458848648.75,37404128610,3848.01,94.17,Normal,1186.11,1226.94,1246804287
2012,4844258875540.87,756835951800,63069662650,25227865060,42645340771580.62,37841797590,3840.4,94.54,Normal,1230.55,1245.78,1261393253
2013,4833932229036.44,765691755600,63807646300,25523058520,43319011073070.0,38284587780,3787.89,94.92,Normal,1192.3,1241.57,1276152926
2014,4960786781539.56,774651181800,64554265150,25821706060,44002607911183.12,38732559090,3842.34,95.29,Normal,1288.42,1221.2,1291085303
2015,5010450936278.72,783715443600,65309620300,26123848120,44696271392812.5,39185772180,3835.92,95.67,Normal,1101.23,1199.72,1306192406
2016,5065508464045.49,792885766800,66073813900,26429525560,45400143453363.75,39644288340,3833.22,96.04,Normal,1127.76,1188.05,1321476278
2017,5118032694151.45,802163392200,66846949350,26738779740,46114368009097.5,40108169610,3828.17,96.42,Normal,1133.62,1168.67,1336938987
2018,5209284913269.14,811549576200,67629131350,27051652540,46839091008868.12,40577478810,3851.36,96.79,Normal,1057.72,1141.75,1352582627
2019,5267298783579.67,821045589000,68420465750,27368186300,47574460347618.75,41052279450,3849.21,97.17,Normal,1095.55,1103.18,1368409315
2020,5293897658583.62,830652715200,69221059600,27688423840,48320625917025.0,41532635760,3823.91,97.54,Normal,1204.67,1123.86,1384421192
2021,5381331840352.95,840372255600,70031021300,28012408520,49077739727040.0,42018612780,3842.11,97.92,Normal,1097.19,1117.75,1400620426
2022,5415703128394.1,850205524800,70850460400,28340184160,49845955783665.0,42510276240,3821.93,98.29,Normal,1089.06,1108.84,1417009208
2023,5471016796748.51,860153853600,71679487800,28671795120,50625430245945.0,43007692680,3816.31,98.67,Normal,1035.66,1104.43,1433589756
2024,5552138534340.38,870218589000,72518215750,29007286300,51416321444446.88,43510929450,3828.1,99.04,Normal,1129.71,1111.26,1450364315
2025,5650613632632.98,880401093600,73366757800,29346703120,52218789864150.0,44020054680,3850.94,99.42,Normal,1072.04,1084.73,1467335156
2026,5691883389839.6,886563901200,73880325100,29552130040,52786568779886.25,44328195060,3852.1,99.79,Normal,1245.51,1114.4,1477606502
2027,5721607628902.55,892769848200,74397487350,29758994940,53359737864603.75,44638492410,3845.3,100.17,Normal,1193.06,1135.19,1487949747
2028,5766124243299.1,899019237000,74918269750,29967307900,53938344784884.38,44950961850,3848.28,100.54,Normal,1081.59,1144.38,1498365395
2029,5801456949341.15,905312371200,75442697600,30177079040,54522437555520.0,45265618560,3844.94,100.92,Normal,1155.23,1149.48,1508853952
2030,5815378759263.87,911649557400,75970796450,30388318580,55112064649696.88,45582477870,3827.38,101.29,Normal,1129.99,1161.08,1519415929
2031,5880415857975.24,918031104000,76502592000,30601036800,55707274929600.0,45901555200,3843.28,101.67,Normal,1141.15,1140.2,1530051840
2032,5929786875332.07,924457321200,77038110100,30815244040,56308117648466.25,46222866060,3848.61,102.04,Normal,1312.63,1164.12,1540762202
2033,5969911753771.09,930928522200,77577376850,31030950740,56914642526002.5,46546426110,3847.71,102.42,Normal,1048.65,1157.53,1551547537
2034,6021574508181.92,937445021400,78120418450,31248167380,57526899641349.38,46872251070,3854.03,102.79,Normal,1223.79,1171.24,1562408369
2035,6052068387930.89,944007136200,78667261350,31466904540,58144939545318.75,47200356810,3846.62,103.17,Normal,1298.76,1205.0,1573345227
2036,6085635182897.18,950615185800,79217932150,31687172860,58768813189629.38,47530759290,3841.07,103.54,Normal,1296.62,1236.09,1584358643
2037,6145115325616.37,957269491800,79772457650,31908983060,59398571966190.0,47863474590,3851.65,103.92,Normal,1256.65,1224.89,1595449153
2038,6161380838206.08,963970378200,80330864850,32132345940,60034267709836.88,48198518910,3835.0,104.29,Normal,1106.51,1236.47,1606617297
2039,6183429254045.73,970718170800,80893180900,32357272360,60675952663567.5,48535908540,3821.97,104.67,Normal,1217.98,1235.3,1617863618
2040,6243953519870.5,977513197800,81459433150,32583773260,61323679518234.38,48875659890,3832.55,105.04,Normal,1170.02,1209.55,1629188663
2041,6273014740427.09,984355789800,82029649150,32811859660,61977501415282.5,49217789490,3823.63,105.42,Normal,1309.52,1212.13,1640592983
2042,6318323275370.05,991246279800,82603856650,33041542660,62637471949486.88,49562313990,3824.47,105.79,Normal,1277.68,1216.34,1652077133
2043,6375461217872.03,998185003200,83182083600,33272833440,63303645171690.0,49909250160,3832.23,106.17,Normal,1332.53,1261.54,1663641672
2044,6403473076554.25,1005172297800,83764358150,33505743260,63976075591539.38,50258614890,3822.31,106.54,Normal,1188.03,1255.55,1675287163
2045,6460219307303.4,1012208503800,84350708650,33740283460,64654818180225.0,50610425190,3829.38,106.92,Normal,1124.72,1246.5,1687014173
2046,6464694910227.28,1019293963200,84941163600,33976465440,65339928334755.0,50964698160,3805.4,107.29,Normal,1100.03,1204.6,1698823272
2047,6563670425620.31,1026429020400,85535751700,34214300680,66031461918607.5,51321451020,3836.8,107.67,Normal,1029.06,1154.87,1710715034
2048,6603791145408.58,1033614023400,86134501950,34453800780,66729475341939.38,51680701170,3833.42,108.04,Normal,1085.56,1105.48,1722690039
2049,6628377710971.52,1040849321400,86737443450,34694977380,67434025410202.5,52042466070,3820.94,108.42,Normal,1145.61,1097.0,1734748869
2050,6713111927323.93,1048135266600,87344605550,34937842220,68145169442540.62,52406763330,3842.89,108.79,Normal,1143.05,1100.66,1746892111
2051,6767095977344.09,1055472213000,87956017750,35182407100,68862965196918.75,52773610650,3846.86,109.17,Normal,1078.29,1096.32,1759120355
2052,6746483405660.18,1062860518200,88571709850,35428683940,69587470990025.62,53143025910,3808.49,109.54,Normal,1242.51,1139.01,1771434197
2053,6815957707456.62,1070300541600,89191711800,35676684720,70318745583120.0,53515027080,3820.96,109.92,Normal,1115.04,1144.9,1783834236
2054,6863137224426.03,1077792645000,89816053750,35926421500,71056848223640.62,53889632250,3820.66,110.29,Normal,1171.96,1150.17,1796321075
2055,6906184079063.06,1085337193200,90444766100,36177906440,71801838687637.5,54266859660,3817.9,110.67,Normal,1306.35,1182.83,1808895322
2056,7002508412428.28,1092934553400,91077879450,36431151780,72553777243363.12,54646727670,3844.24,111.04,Normal,1201.89,1207.55,1821557589
2057,7023003363962.36,1100585095200,91715424600,36686169840,73312724654010.0,55029254760,3828.69,111.42,Normal,1140.41,1187.13,1834308492
2058,7069836367956.96,1108289190600,92357432550,36942973020,74078742180448.12,55414459530,3827.43,111.79,Normal,1058.83,1175.89,1847148651
2059,7070423355703.25,1116047214600,93003934550,37201573820,74851891624203.75,55802360730,3801.14,112.17,Normal,992.79,1140.05,1860078691
2060,7193696207722.54,1123859544600,93654962050,37461984820,75632235290503.12,56192977230,3840.53,112.54,Normal,1014.05,1081.59,1873099241
2061,7154931060729.35,1126107263400,93842271950,37536908780,76040392961085.0,56305363170,3812.21,112.92,Normal,1156.43,1072.5,1876845439
2062,7205513662331.56,1128359477400,94029956450,37611982580,76449880717216.88,56417973870,3831.5,113.29,Normal,1095.76,1063.57,1880599129
2063,7225693968003.5,1130616196200,94218016350,37687206540,76860702287921.25,56530809810,3834.56,113.67,Normal,1114.85,1074.77,1884360327
2064,7270448361087.2,1132877428200,94406452350,37762580940,77272861329129.38,56643871410,3850.61,114.04,Normal,1210.58,1118.33,1888129047
2065,7208854854304.22,1135143183000,94595265250,37838106100,77686361586562.5,56757159150,3810.37,114.42,Normal,1152.92,1146.11,1891905305
2066,7174249327731.0,1137413469000,94784455750,37913782300,78101206732303.12,56870673450,3784.51,114.79,Normal,1096.11,1134.04,1895689115
2067,7279488775351.4,1139688295800,94974024650,37989609860,78517400528771.25,56984414790,3832.36,115.17,Normal,1267.13,1168.32,1899480493
2068,7339821476368.2,1141967671800,95163972650,38065589060,78934946664200.62,57098383590,3856.41,115.54,Normal,1228.12,1190.97,1903279453
2069,7338055412192.25,1144251606600,95354300550,38141720220,79353848917710.0,57212580330,3847.78,115.92,Normal,1121.25,1173.11,1907086011
2070,7322846373932.24,1146540109800,95545009150,38218003660,79774111077178.12,57327005490,3832.14,116.29,Normal,1280.86,1198.69,1910900183
2071,7316967329326.38,1148833189800,95736099150,38294439660,80195736855476.25,57441659490,3821.43,116.67,Normal,1240.88,1227.65,1914721983
2072,7368593582714.63,1151130855600,95927571300,38371028520,80618730015161.25,57556542780,3840.71,117.04,Normal,1265.15,1227.25,1918551426
2073,7331599229908.35,1153433116800,96119426400,38447770560,81043094369160.0,57671655840,3813.8,117.42,Normal,1269.39,1235.51,1922388528
2074,7387769981207.44,1155739983000,96311665250,38524666100,81468833739159.38,57786999150,3835.35,117.79,Normal,1239.34,1259.12,1926233305
2075,7403002342816.09,1158051462600,96504288550,38601715420,81895951870743.75,57902573130,3835.58,118.17,Normal,1316.64,1266.28,1930085771
2076,7433514106511.74,1160367565200,96697297100,38678918840,82324452602298.75,58018378260,3843.7,118.54,Normal,1247.45,1267.59,1933945942
2077,7497391838157.49,1162688299800,96890691650,38756276660,82754339738265.0,58134414990,3868.99,118.92,Normal,1186.56,1251.87,1937813833
2078,7443051488415.1,1165013676000,97084473000,38833789200,83185617134137.5,58250683800,3833.29,119.29,Normal,1232.33,1244.46,1941689460
2079,7431242978508.0,1167343702800,97278641900,38911456760,83618288611192.5,58367185140,3819.57,119.67,Normal,1087.35,1214.07,1945572838
2080,7459850819933.38,1169678389800,97473199150,38989279660,84052358042034.38,58483919490,3826.62,120.04,Normal,1234.24,1197.58,1949463983
2081,7401069046159.43,1168508711400,97375725950,38950290380,84234871733047.5,58425435570,3800.26,120.42,Normal,1113.14,1170.72,1947514519
2082,7424632533330.01,1167340202400,97278350200,38911340080,84416936324182.5,58367010120,3816.18,120.79,Normal,1150.21,1163.46,1945567004
2083,7425140710908.98,1166172861600,97181071800,38872428720,84598552528695.0,58308643080,3820.26,121.17,Normal,1191.62,1155.31,1943621436
2084,7413983489704.13,1165006688400,97083890700,38833556280,84779721102408.75,58250334420,3818.34,121.54,Normal,990.75,1135.99,1941677814
2085,7425863380097.69,1163841681600,96986806800,38794722720,84960442756800.0,58192084080,3828.29,121.92,Normal,1171.2,1123.38,1939736136
2086,7389716227542.66,1162677839400,96889819950,38755927980,85140718158313.12,58133891970,3813.46,122.29,Normal,1118.19,1124.39,1937796399
2087,7438373020717.89,1161515161200,96792930100,38717172040,85320548059897.5,58075758060,3842.42,122.67,Normal,1121.36,1118.62,1935858602
2088,7398034067785.52,1160353645800,96696137150,38678454860,85499933169744.38,58017682290,3825.4,123.04,Normal,1088.0,1097.9,1933922743
2089,7389974112517.07,1159193292000,96599441000,38639776400,85678874194950.0,57959664600,3825.06,123.42,Normal,1186.97,1137.14,1931988820
2090,7372974547013.18,1158034098600,96502841550,38601136620,85857371841515.62,57901704930,3820.08,123.79,Normal,1052.39,1113.38,1930056831
2091,7379187694884.56,1156876064400,96406338700,38562535480,86035426814347.5,57843803220,3827.13,124.17,Normal,1169.96,1123.74,1928126774
2092,7390778892731.87,1155719188200,96309932350,38523972940,86213039817256.88,57785959410,3836.98,124.54,Normal,1094.07,1118.28,1926198647
2093,7334158628387.39,1154563468800,96213622400,38485448960,86390211552960.0,57728173440,3811.39,124.92,Normal,1070.9,1114.86,1924272448
2094,7332466955359.33,1153408905000,96117408750,38446963500,86566942723078.12,57670445250,3814.33,125.29,Normal,1301.52,1137.77,1922348175
2095,7334959108978.63,1152255495600,96021291300,38408516520,86743234028137.5,57612774780,3819.44,125.67,Normal,1079.99,1143.29,1920425826
2096,7297250039004.2,1151103240000,95925270000,38370108000,86919086212875.0,57555162000,3803.61,126.04,Normal,1272.68,1163.83,1918505400
2097,7304708964747.17,1149952136400,95829344700,38331737880,87094499930595.0,57497606820,3811.31,126.42,Normal,1251.99,1195.42,1916586894
2098,7306873362291.56,1148802184200,95733515350,38293406140,87269475924118.12,57440109210,3816.26,126.79,Normal,1134.33,1208.1,1914670307
2099,7337934740057.18,1147653381600,95637781800,38255112720,87444014844285.0,57382669080,3836.32,127.17,Normal,1260.09,1199.82,1912755636
2100,7312678031931.3,1146505728000,95542144000,38216857600,87618117432000.0,57325286400,3826.94,127.54,Normal,1136.38,1211.1,1910842880
2101,7303008640801.34,1145359222200,95446601850,38178640740,87791784381630.0,57267961110,3825.7,127.92,Normal,1204.83,1197.52,1908932037
2102,7314126748445.41,1144213862400,95351155200,38140462080,87965016340320.0,57210693120,3835.36,128.29,Normal,1193.7,1185.87,1907023104
2103,7278190066146.73,1143069648000,95255804000,38102321600,88137814046100.0,57153482400,3820.34,128.67,Normal,1190.69,1197.14,1905116080
2104,7285599997524.36,1141926577800,95160548150,38064219260,88310178190051.88,57096328890,3828.06,129.04,Normal,1159.19,1176.96,1903210963
2105,7263854383358.62,1140784651200,95065387600,38026155040,88482109508700.0,57039232560,3820.45,129.42,Normal,1242.77,1198.24,1901307752
2106,7266712012025.87,1139643866400,94970322200,37988128880,88653608644672.5,56982193320,3825.78,129.79,Normal,1077.13,1172.7,1899406444
2107,7234926062793.84,1138504222200,94875351850,37950140740,88824676285766.25,56925211110,3812.86,130.17,Normal,1348.64,1203.68,1897507037
2108,7174536578449.84,1137365717400,94780476450,37912190580,88995313118683.12,56868285870,3784.82,130.54,Normal,1055.45,1176.64,1895609529
2109,7232445332505.84,1136228351400,94685695950,37874278380,89165519876115.0,56811417570,3819.19,130.92,Normal,1315.55,1207.91,1893713919
2110,7269018758362.5,1135092123000,94591010250,37836404100,89335297242984.38,56754606150,3842.34,131.29,Normal,1291.53,1217.66,1891820205
2111,7247295581263.12,1133957030400,94496419200,37798567680,89504645855760.0,56697851520,3834.69,131.67,Normal,1146.93,1231.62,1889928384
2112,7240780334802.03,1132823073000,94401922750,37760769100,89673566444259.38,56641153650,3835.08,132.04,Normal,1204.06,1202.71,1888038455
2113,7240821976413.88,1131690249600,94307520800,37723008320,89842059690120.0,56584512480,3838.94,132.42,Normal,1141.25,1219.87,1886150416
2114,7200772160110.04,1130558559000,94213213250,37685285300,90010126273884.38,56527927950,3821.53,132.79,Normal,1225.83,1201.92,1884264265
2115,7196262947119.59,1129428000000,94119000000,37647600000,90177766875000.0,56471400000,3822.96,133.17,Normal,1198.38,1183.29,1882380000
2116,7165702415085.71,1128298572000,94024881000,37609952400,90344982219862.5,56414928600,3810.54,133.54,Normal,1198.38,1193.58,1880497620
2117,7166659261004.22,1127170273200,93930856100,37572342440,90511772937960.0,56358513660,3814.86,133.92,Normal,1294.99,1211.77,1878617122
2118,7185349663574.02,1126043102400,93836925200,37534770080,90678139705455.0,56302155120,3828.64,134.29,Normal,1339.95,1251.51,1876738504
2119,7194328806398.9,1124917059000,93743088250,37497235300,90844083245868.77,56245852950,3837.26,134.67,Normal,1099.45,1226.23,1874861765
2120,7149019266836.66,1123792141800,93649345150,37459738060,91009604233584.38,56189607090,3816.91,135.04,Normal,1089.14,1204.38,1872986903
2121,7132774491446.34,1122668349600,93555695800,37422278320,91174703341890.0,56133417480,3812.05,135.42,Normal,1055.55,1175.82,1871113916
2122,7137905366966.59,1121545681200,93462140100,37384856040,91339381242978.77,56077284060,3818.61,135.79,Normal,1057.7,1128.36,1869242802
2123,7147219361482.24,1120424135400,93368677950,37347471180,91503638607948.77,56021206770,3827.42,136.17,Normal,1224.46,1105.26,1867373559
2124,7082472914220.91,1119303711000,93275309250,37310123700,91667476106803.12,55965185550,3796.54,136.54,Normal,1270.75,1139.52,1865506185
2125,7051191265179.27,1118184406800,93182033900,37272813560,91830894408450.0,55909220340,3783.56,136.92,Normal,998.87,1121.47,1863640678
